Facility Number,Facility Name,Common Name,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude
111793-6,Agakhan Tabata,Agakhan Health Services Tanzania,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Segerea,Migombani,Clinic - Other Clinic,Operating,Private - Faith based organization (FBO),72456,,-6.84264,39.18546
100047-0,Agakhan hospital,Agakhan health service Tanzania,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivukoni,Sea View,Hospital - Other Hospital,Operating,Private - Faith based organization (FBO),72001,,-6.80146,39.2866
111687-0,Agano .,Agano Dispensary,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Ubena,Not set,Dispensary,Operating,Private - For Profit,,,-8.8456,34.82562
100048-8,Agape,Agape,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Mrerani,Mrerani,Dispensary,Closed,Private,,,-3.55124,36.9809
112276-1,Agape,Agape,Northern Zone,Arusha,Karatu,Karatu DC,Karatu,Not set,Dispensary,Operating,Private - Faith based organization (FBO),,,-3.32022,35.4045
111570-8,Agape Health Laboratory,King'anda,Eastern Zone,Pwani,Kisarawe,Kisarawe DC,Kiluvya,Kiluvya 'B',Health Labs,Closed,Private - For Profit,PHL-C/PWN/AUT/015,,-6.80108,39.02182
100053-8,Agha Khan,Aga Khan,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Sisimba,Soko kuu,Health Center,Operating,Private - Faith based organization (FBO),,,-8.89303,33.4414
100055-3,Ahmadiyya,,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kihonda,Not set,Dispensary,Closed,Private - Faith based organization (FBO),,,-6.78845,37.6478
100056-1,Ahmadiyya,,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Not set,Not set,Health Center,Operating,Private - Faith based organization (FBO),,,-6.82734,37.66318
111331-5,Ahmes Sec.,Ally Hassan Mwinyi Sec,Eastern Zone,Pwani,Bagamoyo,Bagamoyo DC,Kiromo,Kiromo,Dispensary,Closed (Temporary),Private - For Profit,,,-6.499635,38.913493
100058-7,AIC Bweri,Bweri AIC,Lake Zone,Mara,Musoma,Musoma MC,Bweri,Bweri,Dispensary,Operating,Private - Faith based organization (FBO),,,-1.53519,33.84328
100059-5,AIC Nyasho,AIC Nyasho,Lake Zone,Mara,Musoma,Musoma MC,Nyasho,Nyasho Magereza,Dispensary,Operating,Private - Faith based organization (FBO),205207,,-1.512699,33.802456
109601-5,AICC,,Northern Zone,Arusha,Arusha,Arusha CC,Sekei,Mahakama,Hospital,Operating,Public - Parastatal,23001,02-03-0500,-3.37481,36.69946
100061-1,AICT Bunda,AICT BUNDA,Lake Zone,Mara,Bunda,Bunda TC,Kabarimu,Kabarimu,Dispensary,Operating,Private - Faith based organization (FBO),,,-2.01881,33.872
100062-9,AICT Makongoro,AICT Makongoro,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Isamilo,Nyakabungo,Health Center,Operating,Private - Faith based organization (FBO),193004,19-03-0110,-2.50528,32.90121
100067-8,Airport Church,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Closed,Private - For Profit,,,-6.86298,39.206301
100068-6,Airport MICO,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Closed,Private - For Profit,,,-6.867489,39.192029
100069-4,Airport Police,Terminal One,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Operating,Public - Police,,,-6.87122,39.20314
110667-3,Airport Tanzania,Airport Dispensary,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Operating,Public - Police,,,-6.862977,39.206299
100070-2,Airwing 603 ATS,Air Wing,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kipawa,Kipunguni,Dispensary,Operating,Public - Military,,,-6.868095,39.19808
100072-8,Akim Dental Services,Kwa Akim,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivukoni,Kivukoni,Clinic - Dental Clinic,Operating,Private - For Profit,72111,,-6.81857,39.28699
100079-3,Al - Amal,Umusalama,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Gangilonga,Sabasaba,Dispensary,Operating,Private,116208,,-7.77564,35.70213
100074-4,Al Hassan,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Clinic - Dental Clinic,Closed,Private - For Profit,,,-6.81909,39.28271
100075-1,Al Hilal,Al Hilal,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Clinic - Other Clinic,Operating,Private - Faith based organization (FBO),72262,,-6.81897,39.28139
100086-8,Al Jumaa,Al Jumaa Dispensary,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kariakoo,Kariakoo kaskazini,Dispensary,Operating,Private - Faith based organization (FBO),72019,,-6.818188,39.275753
100078-5,Al Karimu,Bakwata,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Vingunguti,Kombo,Dispensary,Operating,Private - For Profit,72020,,-6.840399,39.237449
100082-7,Al-Ehsaa,KALOLENI HEALTH CENTRE,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Kaloleni,Kaloleni,Dispensary,Operating,Private - Faith based organization (FBO),36030,,-3.36883,37.3457
100085-0,Al-Ijumaa,Al Jumaa,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Pamba,Pamba 'A',Health Center,Operating,Private - Faith based organization (FBO),193005,,-2.520509,32.902825
100092-6,Al-Mohlem,Al-Mohlem,Northern Zone,Tanga,Tanga,Tanga CC,Ngamiani Kaskazini,Mkwakwani,Dispensary,Operating,Private - Faith based organization (FBO),,,-5.083031,39.116825
111227-5,Alailelai,,Northern Zone,Arusha,Ngorongoro,Ngorongoro DC,Alailelai,Alailelai,Dispensary,Operating,Private - NGOs,,,-2.956721,35.698378
100080-1,Alamano,Alamano,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Gangilonga,Sabasaba,Dispensary,Operating,Private - Faith based organization (FBO),116209,,-7.77281,35.70111
110613-7,Alara,,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Charambe,Majimatitu B,Dispensary,Operating,Private - For Profit,73363,,-6.91848,39.23563
108587-7,Alensoni,Kifuru,Eastern Zone,Pwani,Kisarawe,Kisarawe DC,Kisarawe,Kifuru,Clinic,Pending Operation - Under Construction,Private - Faith based organization (FBO),,,-6.95372,38.96669
110629-3,Alexia,Alexia Dispensary,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Toangoma,Toangoma,Health Center,Operating,Private - For Profit,73359,,-6.94335,39.308997
110303-5,Aljamih,,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Mwembesongo,Mwembesongwe,Dispensary,Operating,Private - Faith based organization (FBO) - Bakwata,,,-6.80408,37.66922
111899-1,Aljumaa,Aljumaa,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kariakoo,Kariakoo Magharibi,Clinic - Dental Clinic,Operating,Private - For Profit,,,-6.81801,39.27576
100090-0,Alliance One,,Eastern Zone,Morogoro,Morogoro,Morogoro DC,Mkambarani,Mkambarani,Dispensary,Operating,Private - For Profit,,,-6.77842,37.76137
110974-3,Alma prinmat,Zahanati,Lake Zone,Mwanza,Sengerema,Sengerema DC,Nyamatongo,Kamanga,Health Labs,Operating,Private - For Profit,,,-2.536471,32.834879
100093-4,Alpha,ALPHA PRINMAT,Lake Zone,Mara,Tarime,Tarime DC,Sirari,Kanisani,Maternity Home,Operating,Private - For Profit,56,,-1.25212,34.4751
109507-4,Alsheikh,Alsheikh,Southern Highlands Zone,Iringa,Kilolo,Kilolo DC,Ruaha Mbuyuni,Ruaha Mbuyuni,Dispensary,Closed (Temporary),Private - Faith based organization (FBO),111021,,-7.46679,36.51212
100097-5,Amana,Amana,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ilala,Shariff Shamba,Hospital - Regional Referral Hospital,Operating,Public - LGA,,,-6.82674,39.25926
100098-3,Amani,,Northern Zone,Arusha,Karatu,Karatu DC,Karatu,Karatu Mjini,Dispensary,Closed,Private - For Profit,,,-3.34026,35.6806
100105-6,Amani,Amani,Southern Zone,Ruvuma,Namtumbo,Namtumbo DC,Magazini,Amani,Dispensary,Operating,Public - LGA,,,-11.47111,36.65333
100106-4,Amani,Amani,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Namasakata,Amani,Dispensary,Operating,Public - LGA,,,-11.21349,37.45284
100109-8,Amani,,Northern Zone,Manyara,Babati,Babati TC,Babati,Maisaka B,Maternity Home,Operating,Private,,,-4.20857,35.75193
100100-7,Amani,Amani,Southern Highlands Zone,Njombe,Ludewa,Ludewa DC,Mundindi,Amani,Dispensary,Operating,Public - LGA,,,-9.94648,34.89538
111948-6,Amani,AMANI Dispensary,Southern Zone,Mtwara,Tandahimba,Tandahimba DC,Tandahimba,Matogoro,Dispensary,Operating,Private - For Profit,91206,,-10.76348,39.6334
100108-0,Amani,Amani,Central Zone,Dodoma,Dodoma,Dodoma MC,Makole,Chimuli,Health Center,Operating,Private - For Profit,,,-6.160399,35.760658
111694-6,Amani,Amani,Northern Zone,Tanga,Handeni,Handeni DC,Mazingara,Amani,Dispensary,Operating,Public - LGA,,,-5.71533,38.23912
100107-2,Amani,Amani,Northern Zone,Tanga,Muheza,Muheza DC,Amani,Shebomeza,Dispensary,Operating,Public - LGA,,,-5.10012,38.63348
108988-7,Amani,Amani Handeni,Northern Zone,Tanga,Handeni,Handeni TC,Chanika,Kwamngumi,Dispensary,Operating,Private - For Profit,,,-5.42361,38.02162
100110-6,Amani Chogo,Amani chogo,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Mirongo,Uhuru,Clinic - Other Clinic,Operating,Private - For Profit,1930003,,-2.51685,32.90191
100111-4,Amani Igoma,Amani Igoma,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Igoma,Dr. Shein,Dispensary,Operating,Private - For Profit,nil,,-2.547683,32.979226
111571-6,Amani Kiluvya,Obeja,Eastern Zone,Pwani,Kisarawe,Kisarawe DC,Kiluvya,Kiluvya 'B',Dispensary,Closed,Private - For Profit,,,-6.80012,39.02161
100112-2,Amani makolo,Amani Makoro Dispensary,Southern Zone,Ruvuma,Mbinga,Mbinga DC,Amani Makolo,Amani Makoro,Dispensary,Operating,Public - LGA,,,-10.674759,35.135415
112221-7,Amani Medics,,Central Zone,Dodoma,Dodoma,Dodoma MC,Chang'ombe,Chang'ombe Juu,Dispensary,Operating,Private - For Profit,14229,,-6.15357,35.73833
100113-0,Amani NIMR,Amani NIMR,Northern Zone,Tanga,Muheza,Muheza DC,Amani,Shebomeza,Dispensary,Closed,Public - Parastatal,,,-5.09886,38.6332
100116-3,Ambangulu,,Northern Zone,Tanga,Korogwe,Korogwe DC,Vugiri,Makweli,Dispensary,Operating,Private - For Profit,,,-5.07077,38.42567
100117-1,Amboni,,Northern Zone,Tanga,Tanga,Tanga CC,Mzizima,Mleni,Dispensary,Closed,Private - For Profit,,,-5.04776,39.05074
112097-1,Ambreni,,Northern Zone,Arusha,Arumeru,Meru DC,Nkoanrua,Ambureni,Dispensary,Operating,Public - LGA,,,-3.36819,36.75618
107961-5,AMEC,AMEC,Western Zone,Tabora,Sikonge,Sikonge DC,Tutuo,Tutuo,Dispensary,Operating,Private - Faith based organization (FBO),,,-5.48138,32.6768
100119-7,AMEC,AMEC,Southern Highlands Zone,Katavi,Mpanda,Mpanda TC,Makanyagio,Makanyagio,Dispensary,Operating,Private - Faith based organization (FBO),151202,,-6.337284,31.070345
111681-3,Amen,a,Lake Zone,Kagera,Ngara,Ngara DC,Ngara Mjini,Mubinyange,Dispensary,Operating,Private - For Profit,,,-2.51155,30.6538
100120-5,Ameni,Ameni,Southern Highlands Zone,Mbeya,Kyela,Kyela DC,Kyela,Kyela kati,Dispensary,Operating,Private - For Profit,123204,,-9.59996,33.86665
100121-3,Ameni,Amen,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza,Sinza A,Dispensary,Closed (Temporary),Private - For Profit,71266,,-6.78339,39.22297
111355-4,Amenye,Amenye Hospitali,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Iyela,Ilembo,Dispensary,Operating,Private - For Profit,127134,,-8.925749,33.457792
107732-0,Amsterdam,Tamta Makorora,Northern Zone,Tanga,Tanga,Tanga CC,Makorora,Makorora kati,Dispensary,Operating,Private - For Profit,,,-5.088497,39.110085
109829-2,AMUCTA,AMUCTA,Western Zone,Tabora,Tabora,Tabora MC,Kanyenye,T.T.C,Dispensary,Operating,Private,,,-5.02433,32.81594
100123-9,Anamed,Anamed,Lake Zone,Mwanza,Kwimba,Kwimba DC,Malya,Malya,Dispensary,Closed (Temporary),Private - For Profit,194202,,-2.97539,33.51805
100124-7,Ananda Marga,Kwa Mfilipino,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Pugu,Kinyamwezi,Dispensary,Operating,Private - For Profit,72335,,-6.928634,39.128981
111521-1,Ane,Ane,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Mofu,Mofu,Dispensary,Operating,Private - For Profit,53225,,-8.2525,36.361138
110610-3,Ane Afya Care,Ane Dispensary,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Ukonga,Mongo la ndege,Dispensary,Operating,Private - For Profit,72419,,-6.863498,39.167459
111209-3,Angaza centre,,Western Zone,Tabora,Tabora,Tabora MC,Mbugani,Not set,Clinic,Operating,Private - NGOs,,,-5.01643,32.80093
111292-9,Angaza VCT,ANGAZA,Southern Zone,Ruvuma,Songea,Songea MC,Misufini,Mabatini,Clinic - Other Clinic,Operating,Public - LGA,,,-10.67188,35.64617
111236-6,ANGAZA- VCT,AICT ANGAZA,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Kambarage,Majengo,Clinic,Operating,Private - Faith based organization (FBO),,,-3.39915,33.24945
100127-0,Anglican,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Ubungo,NHC,Dispensary,Closed,Private - Faith based organization (FBO),,,-6.79041,39.2154
100129-6,Anglican,Anglican health center,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Mjimwema,Mpechi,Health Center,Operating,Private - Faith based organization (FBO),113212,22-01-0101,-9.349741,34.771487
111600-3,Anifa,,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Mbezi,Makabe,Dispensary,Operating,Private - For Profit,,,-6.807259,39.124126
100133-8,Anne,Anne dispensary- Kwa Dr. Mulinda,Southern Highlands Zone,Mbeya,Kyela,Kyela DC,Ipinda,Ipinda,Dispensary,Operating,Private - For Profit,12-32-06,,-9.483319,33.8795
100134-6,Anne Kiilu,,Northern Zone,Kilimanjaro,Moshi,Moshi DC,Kimochi,Mdawi,Dispensary,Operating,Public,,,-3.31783,37.41059
110515-4,Ansa,Ansa,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Chamazi,Magengeni,Dispensary,Operating,Private - For Profit,73381,,-6.977323,39.212857
108704-8,Antonio Verna,Antonio Verna,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kawe,Mzimuni,Dispensary,Operating,Private - Faith based organization (FBO),71020,,-6.73669,39.22851
111023-8,Apollo,Apollo,Central Zone,Dodoma,Dodoma,Dodoma MC,Madukani,Jamali,Health Center,Operating,Private - For Profit,14217,,-6.179807,35.746518
100136-1,Apollo Medical Centre,Apollo,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Mchafukoge,Mchafukoge,Health Center,Operating,Private - For Profit,72311,,-6.81857,39.28314
100026-4,Apostles of Jesus Njia,A.J.Njia Health Centre,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Segerea,Ugombolwa,Health Center,Closed,Private - Faith based organization (FBO),,,-6.837991,39.190583
110833-1,Arafa,Arafa,Eastern Zone,Morogoro,Kilosa,Kilosa DC,Ruaha,Ruaha,Dispensary,Operating,Private,,,-7.65657,36.98372
112270-4,Arafa,Arafa Dispensay,Southern Zone,Lindi,Kilwa,Kilwa DC,Kinjumbi,Marendego,Dispensary,Operating,Private - NGOs,,,-8.39243,39.2868
111089-9,Arafa,Arafa Kigogo,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Kigogo,Mbuyuni,Dispensary,Operating,Private - For Profit,,,-6.8161,39.2538
100142-9,Arafa Amani,Kwa Dr. Amani,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Pugu,Pugu station,Dispensary,Operating,Private - For Profit,72363,,-6.888277,39.118159
110593-1,Arafa Anaba,Arafa Anaba Dispensary,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Chamazi,Msufini,Dispensary,Operating,Private - Faith based organization (FBO),73346,,-6.922286,39.235579
111791-0,Arafa Anne,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Tabata,Msimbazi,Dispensary,Operating,Private - Faith based organization (FBO),,,-6.84382,39.21831
110602-0,Arafa Azimio,,Eastern Zone,Dar es Salaam,Temeke,Temeke MC,Azimio,Mbuyuni,Dispensary,Operating,Private - NGOs,73341,,-6.875625,39.266118
